tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,9,0,0,0,0,0,99.965,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,9,0,0,0,0,0,99.93,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,8,0,0,0,0,0,99.86,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,8,0,0,0,0,0,99.79,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,7,0,0,0,0,0,99.67,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,7,0,0,0,0,0,99.55,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,6,0,0,0,0,0,99.38,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,6,0,0,0,0,0,99.21,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,5,0,0,0,0,0,99.005,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,0,98.785,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,0,98.55,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,0,98.315,94.6,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,2.0,2.0,0.0,4,6,0,0,0,0,0,98.045,94.1,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,6,0,0,0,0,0,97.875,93.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,6,0,0,0,0,0,97.705,93.1,100.0,0.0,0.0,0.0,0.0
