tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.5286,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.3571,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.1357,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.8929,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3071,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0143,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.7214,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.3571,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.95,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.5429,93.1,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.2071,92.6,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,6,0,1,0,0,0,0,95.8429,92.6,99.65,0.0,0.0,1.0,1.0
20,0,7.0,0.0,0.0,1.0,0.0,5,0,2,0,0,0,0,95.6214,92.6,99.3,1.0,1.0,3.0,4.0
21,0,7.0,0.0,0.0,1.0,0.0,6,0,1,0,0,0,0,95.2571,92.1,98.95,0.0,1.0,1.0,5.0
22,0,6.0,0.0,1.0,2.0,0.0,5,1,1,0,0,0,0,94.8929,91.6,98.6,0.0,1.0,1.0,6.0
23,0,7.0,1.0,0.0,2.0,0.0,6,0,1,0,0,0,0,94.55,91.1,98.25,0.0,1.0,1.0,7.0
24,0,7.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.1357,90.6,97.9,0.0,1.0,0.0,7.0
25,1,7.0,1.0,1.0,3.0,0.0,6,1,0,0,0,0,0,93.7214,90.1,97.55,0.0,1.0,0.0,7.0
26,0,7.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.3286,89.6,97.2,0.0,1.0,0.0,7.0
27,1,8.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,92.9357,89.1,96.85,0.0,1.0,0.0,7.0
28,1,8.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,92.5,88.6,96.5,0.0,1.0,0.0,7.0
