tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,16,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,16,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,15,0,0,0,0,0,99.9781,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,15,0,0,0,0,0,99.9562,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,14,0,0,0,0,0,99.9125,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,14,0,0,0,0,0,99.8688,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,13,0,0,0,0,0,99.7938,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,13,0,0,0,0,0,99.7188,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,12,0,0,0,0,0,99.6125,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,12,0,0,0,0,0,99.4969,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,11,0,0,0,0,0,99.3594,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,11,0,0,0,0,0,99.2219,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,11,0,0,0,0,0,99.075,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,11,0,0,0,0,0,98.9188,94.6,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,2.0,2.0,0.0,4,12,0,0,0,0,0,98.7406,94.1,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.625,93.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,12,0,0,0,0,0,98.5094,93.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,3,12,1,0,0,0,0,98.425,93.1,100.0,0.0,0.0,1.0,1.0
19,0,6.0,2.0,0.0,2.0,0.0,5,10,1,0,0,0,0,98.3281,93.1,100.0,1.0,1.0,2.0,3.0
20,0,6.0,0.0,0.0,2.0,0.0,6,10,0,0,0,0,0,98.1688,92.6,100.0,0.0,1.0,0.0,3.0
21,0,6.0,0.0,0.0,2.0,0.0,5,10,1,0,0,0,0,98.0313,92.1,100.0,0.0,1.0,1.0,4.0
22,0,6.0,0.0,0.0,2.0,0.0,5,10,1,0,0,0,0,97.8938,91.75,100.0,0.0,1.0,1.0,5.0
