tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.75,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.5,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.25,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0,95.8,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.6571,95.3,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.3143,94.8,100.0,0.0,0.0,0.0,0.0
17,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.9714,94.3,100.0,0.0,0.0,0.0,0.0
18,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.6071,93.8,100.0,0.0,0.0,0.0,0.0
19,1,8.0,2.0,0.0,0.0,0.0,7,0,0,0,0,0,0,96.1714,93.3,99.65,0.0,0.0,0.0,0.0
20,1,8.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,95.7143,92.8,99.3,0.0,0.0,0.0,0.0
21,1,7.0,0.0,1.0,1.0,0.0,6,1,0,0,0,0,0,95.2571,92.3,98.95,0.0,0.0,0.0,0.0
22,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,94.8214,91.8,98.6,0.0,0.0,0.0,0.0
23,1,8.0,1.0,0.0,1.0,0.0,7,0,0,0,0,0,0,94.3857,91.3,98.25,0.0,0.0,0.0,0.0
24,1,8.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,93.95,90.8,97.9,0.0,0.0,0.0,0.0
25,2,8.0,1.0,1.0,2.0,0.0,6,1,0,0,0,0,0,93.5143,90.3,97.55,0.0,0.0,0.0,0.0
26,1,8.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,93.1,89.8,97.2,0.0,0.0,0.0,0.0
27,2,9.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,92.6857,89.3,96.85,0.0,0.0,0.0,0.0
28,2,7.0,0.0,2.0,4.0,0.0,5,2,0,0,0,0,0,92.2714,88.8,96.5,0.0,0.0,0.0,0.0
