tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.93,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.86,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.72,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.58,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.37,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.16,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.85,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.54,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,98.16,96.85,99.65,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.78,96.5,99.3,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.4,96.1,98.95,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.99,95.6,98.6,0.0,0.0,0.0,0.0
15,1,6.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.58,95.1,98.25,0.0,0.0,0.0,0.0
16,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.17,94.6,97.9,0.0,0.0,0.0,0.0
17,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.73,94.1,97.55,0.0,0.0,0.0,0.0
18,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.29,93.6,97.2,0.0,0.0,0.0,0.0
19,3,8.0,2.0,0.0,0.0,0.0,5,0,0,0,0,0,0,94.85,93.1,96.85,0.0,0.0,0.0,0.0
20,3,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,94.41,92.6,96.5,0.0,0.0,0.0,0.0
21,3,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,93.97,92.1,96.15,0.0,0.0,0.0,0.0
22,3,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,93.5,91.6,95.8,0.0,0.0,0.0,0.0
23,4,9.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,93.03,91.1,95.45,0.0,0.0,0.0,0.0
24,4,8.0,0.0,1.0,1.0,0.0,4,1,0,0,0,0,0,92.56,90.6,95.1,0.0,0.0,0.0,0.0
25,4,9.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,92.12,90.1,94.75,0.0,0.0,0.0,0.0
26,4,9.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,91.68,89.6,94.4,0.0,0.0,0.0,0.0
27,5,9.0,1.0,1.0,2.0,0.0,4,1,0,0,0,0,0,91.24,89.1,94.05,0.0,0.0,0.0,0.0
